country,rando,cascade,cascade_cost,cost.m,cost.sd,cost.lo,cost.hi
Cameroon,INT,att_coprev,Co-prevalent TB treatment,277.367,238.495,0,74.46
Cameroon,SOC,att_coprev,Co-prevalent TB treatment,277.367,238.495,0,0
Cameroon,INT,att_inc,Incident TB treatment,277.367,238.495,0,237.16
Cameroon,SOC,att_inc,Incident TB treatment,277.367,238.495,0,0
Cameroon,INT,inv_coprev,Co-prevalent TB investigations,52.9,18,25.3,85.73
Cameroon,SOC,inv_coprev,Co-prevalent TB investigations,58.92,15.11,35.55,89.08
Cameroon,INT,inv_inc,Incident TB investigations,64.07,40.35,26.79,149.34
Cameroon,SOC,inv_inc,Incident TB investigations,70.68,51.58,38.35,174.44
Cameroon,INT,screening,Household contact investigations,50.57,37.22,28.54,138.16
Cameroon,SOC,screening,Household contact investigations,29.47,1.67,26.64,32.77
Cameroon,INT,tpt,TPT initiation,1000.51,677.43,0,2125.25
Cameroon,SOC,tpt,TPT initiation,493.69,289.59,45.53,1001.43
Uganda,SOC,att_coprev,Co-prevalent TB treatment,214.5907,45.1783,0,113.88
Uganda,INT,att_coprev,Co-prevalent TB treatment,214.5907,45.1783,0,264.6
Uganda,INT,att_inc,Incident TB treatment,214.5907,45.1783,195.15,195.15
Uganda,SOC,inv_coprev,Co-prevalent TB investigations,51.19,10.75,35.39,67.05
Uganda,INT,inv_coprev,Co-prevalent TB investigations,46.13,15.28,24.4,73.38
Uganda,INT,inv_inc,Incident TB investigations,24.45,,24.45,24.45
Uganda,SOC,screening,Household contact investigations,29.52,2.85,26.62,33.32
Uganda,INT,screening,Household contact investigations,35.08,12.58,28.57,40.82
Uganda,SOC,tpt,TPT initiation,467,280.74,8.87,1356.88
Uganda,INT,tpt,TPT initiation,1089.8,266.4,220.2,1555.01
Uganda,SOC,att_inc,,214.5907,45.1783,,
Uganda,INT,inv_inc,,24.45,,,
