country,age_cat,rando,cascade,cascade_cost,cost.m,cost.sd,cost.lo,cost.hi
Cameroon,u5,INT,att_coprev,Co-prevalent TB treatment,277.367,238.495,0,92.86
Cameroon,u5,SOC,att_coprev,Co-prevalent TB treatment,277.367,238.495,0,0
Cameroon,u5,INT,att_inc,Incident TB treatment,277.367,238.495,0,364.03
Cameroon,u5,SOC,att_inc,Incident TB treatment,277.367,238.495,0,0
Cameroon,u5,INT,inv_coprev,Co-prevalent TB investigations,44.59,17.91,13.12,74.86
Cameroon,u5,SOC,inv_coprev,Co-prevalent TB investigations,38.24,13.71,17.68,66.58
Cameroon,u5,INT,inv_inc,Incident TB investigations,48.46,37.02,14.74,127.31
Cameroon,u5,SOC,inv_inc,Incident TB investigations,63.28,46.43,29.79,162.68
Cameroon,u5,INT,screening,Household contact investigations,35.5,27.42,16.35,89.67
Cameroon,u5,SOC,screening,Household contact investigations,14.99,1.62,12.29,18.31
Cameroon,u5,INT,tpt,TPT initiation,744.49,313.14,21.88,1329.16
Cameroon,u5,SOC,tpt,TPT initiation,243.95,144.96,20.57,517.6
Cameroon,o5,INT,att_coprev,Co-prevalent TB treatment,277.367,238.495,0,127.49
Cameroon,o5,SOC,att_coprev,Co-prevalent TB treatment,277.367,238.495,0,0
Cameroon,o5,INT,inv_coprev,Co-prevalent TB investigations,39.06,17.08,9.51,68.91
Cameroon,o5,SOC,inv_coprev,Co-prevalent TB investigations,40.62,5.25,37.1,44.15
Cameroon,o5,INT,screening,Household contact investigations,31.29,21.44,17.86,92.93
Cameroon,o5,SOC,screening,Household contact investigations,18.66,2.93,13.36,20.69
Cameroon,o5,INT,tpt,TPT initiation,21.74,199.28,0,0
Uganda,u5,SOC,att_coprev,Co-prevalent TB treatment,214.5907,45.1783,0,0
Uganda,u5,INT,att_coprev,Co-prevalent TB treatment,214.5907,45.1783,0,224.37
Uganda,u5,INT,att_inc,Incident TB treatment,214.5907,45.1783,161.17,161.17
Uganda,u5,SOC,inv_coprev,Co-prevalent TB investigations,33.67,10.57,18.85,43.82
Uganda,u5,INT,inv_coprev,Co-prevalent TB investigations,25.98,13.87,13.22,47.66
Uganda,u5,INT,inv_inc,Incident TB investigations,11.73,,11.73,11.73
Uganda,u5,SOC,screening,Household contact investigations,14.51,2.2,12.03,18.55
Uganda,u5,INT,screening,Household contact investigations,22.44,9.01,16.39,28.42
Uganda,u5,SOC,tpt,TPT initiation,233.44,125.89,35.33,684.22
Uganda,u5,INT,tpt,TPT initiation,665.93,138.75,175.44,940.59
Uganda,o5,SOC,att_coprev,Co-prevalent TB treatment,214.5907,45.1783,0,128.95
Uganda,o5,INT,att_coprev,Co-prevalent TB treatment,214.5907,45.1783,0,260.17
Uganda,o5,SOC,inv_coprev,Co-prevalent TB investigations,39.49,8.18,26.42,51.22
Uganda,o5,INT,inv_coprev,Co-prevalent TB investigations,39.64,14.94,15.44,62.77
Uganda,o5,SOC,screening,Household contact investigations,15.69,1.87,12.67,18.55
Uganda,o5,INT,screening,Household contact investigations,23.4,6.43,17.38,29.19
Uganda,o5,INT,tpt,TPT initiation,180.52,510.66,4.53,1239.25
Uganda,o5,SOC,tpt,TPT initiation,8.56,6.84,4.47,19.3
Cameroon,o5,SOC,att_inc,Incident TB treatment,277.367,238.495,0,0
Cameroon,o5,SOC,inv_inc,Incident TB investigations,63.28,46.43,29.79,162.68
Cameroon,o5,SOC,tpt,TPT initiation,243.95,144.96,20.57,517.6
Cameroon,o5,INT,att_inc,Incident TB treatment,277.367,238.495,0,364.03
Cameroon,o5,INT,inv_inc,Incident TB investigations,48.46,37.02,14.74,127.31
Uganda,u5,SOC,att_inc,Incident TB treatment,214.5907,45.1783,161.17,161.17
Uganda,u5,SOC,inv_inc,Incident TB investigations,11.73,,11.73,11.73
Uganda,o5,SOC,att_inc,Incident TB treatment,214.5907,45.1783,161.17,161.17
Uganda,o5,SOC,inv_inc,Incident TB investigations,11.73,,11.73,11.73
Uganda,o5,INT,att_inc,Incident TB treatment,214.5907,45.1783,161.17,161.17
Uganda,o5,INT,inv_inc,Incident TB investigations,11.73,,11.73,11.73
