NAME,DISTRIBUTION,MEDIAN (IQR),DESCRIPTION,SOURCE,NOTES,CATEGORY,"WORKING NOTES, QUERIES, ACTIONS",NOTES - TBS STUDY
int.frac.screened,,,Proportion of TB contacts screened at the facility under SoC,CONTACT study,,,,
int.frac.notscreened,,,Proportion of TB contacts not screened at the facility under SoC,CONTACT study,Calculated,,,
int.frac.asymp,,,Proportion of TB child contacts with no TB suggestive symptoms (out of those screened at the facility under SoC),CONTACT study,,,,
int.frac.symp,,,Proportion of TB child contacts with TB suggestive symptoms (out of those screened at the facility under SoC),CONTACT study,,,,
int.frac.need.rescr,,,,CONTACT study,Calculated,,,
int.frac.torescreen,,,Proportion of TB contacts needing re-screening at the facility under SoC,CONTACT study,,,,
int.frac.rescreened,,,Proportion of TB contacts re-screened at the facility under SoC,CONTACT study,,,,
int.frac.notrescreened,,,Proportion of TB contacts not re-screened at the facility under SoC,CONTACT study,Calculated,,,
int.frac.rescr.asymp,,,Proportion of TB child contacts with no TB suggestive symptoms (out of those re-screened at the facility under SoC),CONTACT study,,,,
int.frac.rescr.symp,,,Proportion of TB child contacts with TB suggestive symptoms (out of those re-screened at the facility under SoC),CONTACT study,,,,
frac.symp.attending,,,Proportion of TB child contacts TB suggestive symptoms attending referral at the facility under SoC,,,,,
int.frac.symp.ltfu,,,Proportion of TB child contacts TB suggestive symptoms not attending referral at the facility under SoC,CONTACT study,Calculated,,,
int.frac.tb.evaluation,,,Proportion of TB child contacts TB initiating diagnosis work-up,,,,,
int.frac.presumed,,,Proportion of TB child contacts TB suggestive symptoms attending referral at the facility assessed as having presumptive TB under SoC,CONTACT study,Curently not used,,,
int.frac.es.sample,,,Proportion of children providing a spontaneously expectorated sputum sample for bacteriological testing,CONTACT study,Curently not used,,,
int.frac.ga.sample,,,Proportion of children providing a gastric aspirate sample for bacteriological testing,CONTACT study,Curently not used,,,
int.frac.is.sample,,,Proportion of children providing an induced sputum sample for bacteriological testing,CONTACT study,Curently not used,,,
int.frac.nga.sample,,,Proportion of children providing a nasopharyngeal aspirate sample for bacteriological testing,CONTACT study,Curently not used,,,
int.frac.bac.assess,,,Proportion children with TB symptoms receiving bacteriological assessment  for TB at facility under SoC,CONTACT study,,,,
int.frac.xpert.test,,,Proportion of children receiving an Xpert test in the facility SoC pathway,CONTACT study,Curently not used,,,
int.frac.clin.assess,,,Proportion of children receiving a clinical assessment plus/minus CXR after symptom re-screening in the facility SoC pathway,CONTACT study,,,,
int.frac.bac.dx,,,Proportion of children diagnised with a bacteriologically confirmed TB,CONTACT study,,,,
int.frac.bac-.dx,,,Proportion of children diagnised with a negative bacteriological test for TB,CONTACT study,Can be calculated,,,
int.frac.bac.clin.dx,,,Proportion of children with a clinical diagnosis after bact- test,CONTACT study,,,,
int.frac.bac.noclin.dx,,,Proportion of children in whom TB is excluded following clinical assessment after bact- test,CONTACT study,,,,
int.frac.bac.7d.ass,,,Proportion of children invited for reassessment after 7 days after bact- test,CONTACT study,,,,
int.frac.bac.7d.clin.dx,,,Proportion of children with a clinical diagnosis of TB after bact- test and 7 days reassessment,CONTACT study,,,,
int.frac.bac.7d.noclin.dx,,,Proportion of children in whom TB is excluded following after bact- test and 7 days reassessment,CONTACT study,,,,
int.frac.bac.7d.ltfu,,,Proportion of children not attending (LTFU) 7 day re-assessment after bact- test,CONTACT study,,,,
int.frac.clin.dx,,,Proportion of children diagnosed with a clinical diagnosis of TB at initial clinical assessment,CONTACT study,,,,
int.frac.noclin.dx,,,Proportion of children in whom TB is excluded at initial clinical assessment,CONTACT study,,,,
frac.clin.7d.ass,,,Proportion of children invited for reassessment after 7 days after clinical only assessment,CONTACT study,,,,
int.frac.clin.7d.clin.dx,,,Proportion of children with a clinical diagnosis of TB after clinical assessment and 7day reassessment,CONTACT study,,,,
int.frac.noclin.7d.noclin.dx,,,Proportion of children in whom TB is excluded after clinical assessment and 7day reassessment,CONTACT study,,,,
int.frac.clin.7d.ltfu,,,Proportion of children LTFU at 7 day re-assessment after clinical assessment,CONTACT study,,,,
sens.xpert.on.npa,"B(14.876289210384,17.67576595457)",0.456 (0.397 - 0.516),Sensitivity of Xpert Ultra on NPA in bac+ children,45.7% (28.9-63.3%). Kay 2020,,Dx accuracy,,
spec.xpert.on.npa,"B(120.278188775511,3.08405612244899)",0.978 (0.967 - 0.985),Specificity of Xpert Ultra on NPA in bac+ children,97.5% (93.7-99.3%). Kay 2020,,,,
sens.xpert.on.ga,"B(19.4209751059137,7.1831003816393)",0.736 (0.675 - 0.791),Sensitivity of Xpert on GA in bac+ children,73.0% (52.9-86.7%). Kay 2020,,,,
spec.xpert.on.ga,"B(212.720785244704,4.11997443389335)",0.982 (0.976 - 0.988),Specificity of Xpert on GA in bac+ children,98.1% (95.5-99.2%). Kay 2020,,,,
sens.xpert.on.sputum,"B(103.163282735012,38.5445232196748)",0.729 (0.703 - 0.754),Sensitivity for C+ of Xpert on sputum,72.8% (64.7-79.6%). Kay 2020,,,,
spec.xpert.on.sputum,"B(520.629938271604,13.3494855967078)",0.976 (0.971 - 0.980),Specificity for C+ of Xpert on sputum,97.5% (95.8-98.5%). Kay 2020,,,,
sens.clin.soc,"B(492.167344045368,292.788547574039)",0.627 (0.615 - 0.639),Sensitivity of clinical diagnosis without CXR,62.7% (59.2-66.1%). Marais 2006,,,,
spec.clin.soc,"B(694.552101135748,76.3159356408868)",0.901 (0.894 - 0.908),Specificity of clinical diagnosis without CXR,90.1% (87.8-92.1%). Marais 2006,,,,
sens.clinCXR.soc,"B(492.167344045368,292.788547574039)",0.627 (0.615 - 0.639),Sensitivity of clinical diagnosis with CXR,62.7% (59.2-66.1%). Assumed to be the same as Marais 2006,,,,
spec.clinCXR.soc,"B(694.552101135748,76.3159356408868)",0.901 (0.894 - 0.908),Specificity of clinical diagnosis with CXR,90.1% (87.8-92.1%). Assumed to be the same as Marais 2006,,,,
frac.tpt.assessed,,,Proportion of TB child contacts with no TB suggestive symptoms who are assessed for TPT ,,,,,
frac.tpt.not.assessed,,,Proportion of TB child contacts with no TB suggestive symptoms who are not assessed for TPT ,,,,,
int.frac.tpt.eligible,,,Proportion of child contacts eligible for TPT,CONTACT study,,,,
