country,variable,INT,SOC
Cameroon,frac.screened,1,1
Cameroon,frac.asymp,0.63758,0.92884
Cameroon,frac.symp,0.05966,0.06742
Cameroon,frac.need.rescr,0.30276,0.00375
Cameroon,frac.rescreened,0.94706,0
Cameroon,frac.rescr.asymp,0.85535,0
Cameroon,frac.rescr.symp,0.14465,0
Cameroon,frac.symp.attending,1,1
Cameroon,frac.tb.evaluation,0.98507,1
Cameroon,frac.bac.assess,0.84848,0.94444
Cameroon,frac.clin.assess,0.15152,0.05556
Cameroon,frac.bac.dx,0.07143,0
Cameroon,frac.bac.clin.dx,0,0
Cameroon,frac.bac.noclin.dx,0.83929,0.82353
Cameroon,frac.bac.7d.ass,0.08929,0.17647
Cameroon,frac.bac.7d.clin.dx,0.2,0
Cameroon,frac.bac.7d.noclin.dx,0.8,1
Cameroon,frac.bac.7d.ltfu,0,0
Cameroon,frac.clin.dx,0,0
Cameroon,frac.noclin.dx,0.6,0
Cameroon,frac.clin.7d.ass,0.4,1
Cameroon,frac.clin.7d.dx,0,0
Cameroon,frac.noclin.7d.dx,1,1
Cameroon,frac.clin.7d.ltfu,0,0
Cameroon,frac.tpt.assessed,1,1
Cameroon,frac.tpt.not.assessed,0,0
Cameroon,frac.tpt.reassessed,0.01749,0
Cameroon,frac.tpt.not.reassessed,0,0
Cameroon,frac.tpt.eligible,0.98542,0.99225
Cameroon,frac.tpt.not.eligible,0.01458,0.00775
Cameroon,frac.tpt.reeligible,0.01749,0
Cameroon,frac.tpt.not.reeligible,0,0
Cameroon,frac.tpt.initiated,0.97353,1
Cameroon,frac.pre.tpt.ltfu,0.02059,0
Cameroon,frac.tpt.reinitiated,0.01176,0
Cameroon,frac.pre.tpt.reltfu,0,0
Cameroon,frac.tpt.completed,0.71186,0.76953
Cameroon,frac.tpt.notcompleted,0.28814,0.23047
Uganda,frac.screened,1,1
Uganda,frac.asymp,0.93581,0.91379
Uganda,frac.symp,0.03266,0.07328
Uganda,frac.need.rescr,0.03153,0.01293
Uganda,frac.rescreened,1,0.66667
Uganda,frac.rescr.asymp,1,1
Uganda,frac.rescr.symp,0,0
Uganda,frac.symp.attending,1,1
Uganda,frac.tb.evaluation,1,1
Uganda,frac.bac.assess,0.78571,1
Uganda,frac.clin.assess,0.21429,0
Uganda,frac.bac.dx,0.09091,0
Uganda,frac.bac.clin.dx,0,0.05882
Uganda,frac.bac.noclin.dx,0.72727,0.11765
Uganda,frac.bac.7d.ass,0.18182,0.82353
Uganda,frac.bac.7d.clin.dx,0,0
Uganda,frac.bac.7d.noclin.dx,1,1
Uganda,frac.bac.7d.ltfu,0,0
Uganda,frac.clin.dx,0.16667,0
Uganda,frac.noclin.dx,0.66667,0
Uganda,frac.clin.7d.ass,0.16667,0
Uganda,frac.clin.7d.dx,1,0
Uganda,frac.noclin.7d.dx,0,0
Uganda,frac.clin.7d.ltfu,0,0
Uganda,frac.tpt.assessed,0.99671,1
Uganda,frac.tpt.not.assessed,0,0
Uganda,frac.tpt.reassessed,0.00658,0.04651
Uganda,frac.tpt.not.reassessed,0,0
Uganda,frac.tpt.eligible,0.99671,1
Uganda,frac.tpt.not.eligible,0,0
Uganda,frac.tpt.reeligible,0.00658,0.04651
Uganda,frac.tpt.not.reeligible,0,0
Uganda,frac.tpt.initiated,0.99671,1
Uganda,frac.pre.tpt.ltfu,0,0
Uganda,frac.tpt.reinitiated,0.00658,0.04651
Uganda,frac.pre.tpt.reltfu,0,0
Uganda,frac.tpt.completed,0.95738,0.7619
Uganda,frac.tpt.notcompleted,0.04262,0.2381
